title,price,mileage,registration_year,previous_owners,fuel_type,body_type,engine,gearbox,doors,seats,emission_class,service_history
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
fiat panda,1395,45000,2010,3,petrol,hatchback,1.1,manual,5,4,4,unknown
bmw 3 series,2495,74325,2007,3,petrol,saloon,2.0,manual,4,5,4,unknown
vauxhall corsa,1498,102329,2007,3,petrol,hatchback,1.0,manual,3,5,4,unknown
mazda mazda2,2495,97000,2008,2,petrol,hatchback,1.5,manual,5,5,4,full
vauxhall insignia,1949,113000,2011,3,diesel,hatchback,2.0,manual,5,5,5,unknown
vauxhall corsa,2700,84000,2014,3,diesel,hatchback,1.3,manual,5,5,5,unknown
renault megane,1990,43000,2007,3,petrol,hatchback,1.4,manual,3,5,4,unknown
renault clio,1400,92000,2006,1,petrol,hatchback,1.4,manual,5,5,4,unknown
hyundai i20,1500,100600,2010,4,petrol,hatchback,1.2,manual,5,5,4,unknown
ford focus,2995,100000,2012,3,diesel,hatchback,1.6,manual,5,5,5,unknown
peugeot 207,999,111400,2007,2,diesel,hatchback,1.6,manual,5,5,4,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
mercedes-benz a class,15900,62402,2019,1,petrol,hatchback,1.3,automatic,5,5,6,unknown
citroen c3,1300,120000,2010,1,petrol,hatchback,1.6,manual,5,5,5,unknown
audi a6 saloon,4250,95000,2006,3,petrol,saloon,3.1,automatic,4,5,4,unknown
toyota yaris,2999,27682,2007,3,petrol,hatchback,1.3,manual,5,5,4,unknown
bmw 1 series,2495,89900,2007,4,petrol,hatchback,1.6,manual,5,5,4,unknown
fiat 500,2499,80742,2011,3,petrol,hatchback,1.2,manual,3,4,5,full
seat ibiza,2394,55926,2008,3,petrol,hatchback,1.4,manual,3,5,4,unknown
hyundai i30,1999,105000,2010,7,petrol,hatchback,1.4,manual,5,5,4,unknown
mercedes-benz m class,2495,132000,2004,3,petrol,suv,3.7,automatic,5,5,3,unknown
peugeot 308,3495,79000,2010,3,petrol,hatchback,1.6,automatic,5,5,4,unknown
audi a4,3995,89000,2008,4,petrol,saloon,1.8,manual,4,5,4,unknown
volkswagen polo,3495,127000,2015,3,petrol,hatchback,1.0,manual,3,5,6,unknown
mercedes-benz a class,15900,62402,2019,1,petrol,hatchback,1.3,automatic,5,5,6,unknown
peugeot 308 sw,9600,56984,2016,4,diesel,estate,1.6,manual,5,5,6,unknown
ford s-max,1839,103900,2009,4,diesel,mpv,2.0,manual,5,7,4,unknown
volkswagen polo,2595,102000,2010,2,diesel,hatchback,1.6,manual,5,5,5,unknown
honda civic,4700,95000,2011,7,petrol,hatchback,1.4,automatic,3,5,5,unknown
peugeot 1007,2490,36600,2007,3,petrol,hatchback,1.6,automatic,3,4,4,unknown
vauxhall corsa,990,130000,2006,1,petrol,hatchback,1.2,manual,3,5,4,unknown
peugeot 307 cc,1950,70345,2008,5,petrol,convertible,1.6,manual,2,4,4,unknown
citroen c1,1390,97000,2011,3,petrol,hatchback,1.0,manual,5,4,5,unknown
hyundai i20,3495,112000,2010,2,petrol,hatchback,1.4,automatic,5,5,4,full
nissan micra,1490,49000,2004,3,petrol,hatchback,1.0,manual,5,5,3,unknown
seat ibiza,2799,99061,2011,3,petrol,hatchback,1.2,manual,3,5,5,unknown
